date_amazon,date,id,price,price_online,price_amazon,sale_online,product_online,product_amazon,merchant,URL,imputed,COMMENTS,PRICETYPE,datediff,cat_id,category,retailer_id,retailer_s
2/14/2015,2/16/2015,060258355017,7.79,,13.79,,Brita Pitcher Filter Refills,Brita 3 Count Water Filter Pitcher Advanced Replacement Filters (Packaging May Vary),Ships from and sold by Amazon.com in easy-to-open packaging. Gift-wrap available.,http://www.amazon.com/Brita-Pitcher-Advanced-Replacement-Packaging/dp/B00004SU18/ref=sr_1_1?ie=UTF8&qid=1423892091&sr=8-1&keywords=Brita+Pitcher+Filter+Refills,,,,-2,9999,Mix,53,USA_53
1/20/2016,1/18/2016,062181378,15.99,,24.99,,Room Essentials® Easy Care Sheet Set - Solids,"Cosy House Collection Silky Soft High Quality 100% Microfiber Bed Sheets Set 4pc- Wrinkle and Fade Free- Stain Resistant - Hypoallergenic - Luxury Fitted & Flat Sheets Plus Pillowcases (Taupe, King)",Ships from and sold by Elco product.,http://www.amazon.com/Cosy-House-Collection-Microfiber-Resistant/dp/B016N388BA/ref=sr_1_1?ie=UTF8&qid=1453350868&sr=8-1&keywords=Room+Essentials%C2%AE+Easy+Care+Sheet+Set+-+Solids,,,Regular Price,2,9999,Mix,53,USA_53
1/24/2015,1/18/2015,033317190379,19.99,19.99,14.41,,Texas Instruments TI-30XS Multiview Scientific...,Texas Instruments TI-30XS MultiView Scientific Calculator,Ships from and sold by Amazon.com. Gift-wrap available.,http://www.amazon.com/Texas-Instruments-MultiView-Scientific-Calculator/dp/B000PDFQ6K/ref=sr_1_1?ie=UTF8&qid=1422075592&sr=8-1&keywords=Texas+Instruments+TI-30XS+Multiview+Scientific...,,,,6,9999,Mix,53,USA_53
1/27/2016,1/21/2016,072081250,84.99,99.99,93.75,,Bodum Bistro Burr Coffee Grinder,"Bodum Bistro Electric Burr Coffee Grinder, Black",Ships from and sold by Amazon.com. Gift-wrap available.,http://www.amazon.com/Bodum-Bistro-Electric-Coffee-Grinder/dp/B0043095WW/ref=sr_1_1?ie=UTF8&qid=1453955640&sr=8-1&keywords=Bodum+Bistro+Burr+Coffee+Grinder,1,,Sale/Discounted Price,6,9999,Mix,53,USA_53
2/13/2015,2/11/2015,034000133703,3.19,,8.55,,Hershey's Kisses Chocolate Truffle 10 oz,"Hershey's Valentine's Kisses, Chocolate Truffle, 10oz",Sold by New Diamond Marketplace and Fulfilled by Amazon. Gift-wrap available.,http://www.amazon.com/Hersheys-Valentines-Kisses-Chocolate-Truffle/dp/B00RVYJSVA/ref=sr_1_1?ie=UTF8&qid=1423806803&sr=8-1&keywords=Hershey%27s+Kisses+Chocolate+Truffle+10+oz,,,,2,9999,Mix,53,USA_53
1/25/2015,1/21/2015,018627030003,2.99,,9.89,,Kashi TLC Trail Mix Chewy Granola Bars 12 pk,Kashi Chewy Granola Bars - Cherry Dark Chocolate - 1.2 oz - 6 ct - 2 pk,"Ships from and sold by Vine.com (Quidsi Retail, an Amazon company).",http://www.amazon.com/Kashi-Chewy-Granola-Bars-Chocolate/dp/B00B5EBXT2/ref=sr_1_1?ie=UTF8&qid=1422248141&sr=8-1&keywords=Kashi+TLC+Trail+Mix+Chewy+Granola+Bars+12+pk,,,,4,9999,Mix,53,USA_53
6/3/2016,6/3/2016,094081456,36.99,,15.79,,"thinkThin® Brownie Crunch High Protein Bars""","thinkThin High Protein Bars, Brownie Crunch, 2.1 Ounce (pack of 10)",,http://www.amazon.com/thinkThin-Protein-Brownie-Crunch-Ounce/dp/B000CRIBCA/ref=sr_1_1_a_it?m=ATVPDKIKX0DER&ie=UTF8&qid=1465012503&sr=8-1&keywords=thinkThin%C2%AE+Brownie+Crunch+High+Protein+Bars%22,,,Regular Price,0,9999,Mix,53,USA_53
2/15/2015,2/8/2015,038000713422,1.99,1.99,11.89,,Kellogg's Pop-Tarts Frosted Confetti Cupcake...,Pop-tarts Frosted Confetti Cupcake - 8 Toaster Pastries (2 Pack),Sold by Sweet as Honey and Fulfilled by Amazon. Gift-wrap available.,http://www.amazon.com/Pop-tarts-Frosted-Confetti-Cupcake-Pastries/dp/B00CPPDI34/ref=sr_1_1?ie=UTF8&qid=1423980446&sr=8-1&keywords=Kellogg%27s+Pop-Tarts+Frosted+Confetti+Cupcake...,,,,7,9999,Mix,53,USA_53
4/8/2015,4/11/2015,072179230311,19.99,,23.96,,Mr. Coffee 12-Cup Switch Coffeemaker,"Mr. Coffee DW13 12-Cup Switch Coffeemaker, Black",Ships from and sold by toolboxsupply.,http://www.amazon.com/Mr-Coffee-12-Cup-Switch-Coffeemaker/dp/B001Q3M440/ref=sr_1_1?ie=UTF8&qid=1428473134&sr=8-1&keywords=Mr.+Coffee+12-Cup+Switch+Coffeemaker,,,,-3,9999,Mix,53,USA_53
1/24/2016,1/22/2016,035000768513,3.49,14.29,3.37,,035000768513,"Colgate Total Daily Repair Toothpaste, 5.8 Ounce",,http://www.amazon.com/Colgate-Total-Daily-Repair-Toothpaste/dp/B00ZANSGT4/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1453612351&sr=8-1&keywords=035000768513,1,,Regular Price,2,9999,Mix,53,USA_53
2/3/2016,2/1/2016,049090009,2.99,2.99,12.96,,Colgate Enamel Health Whitening Toothpaste 4.0oz,Crest Pro-Health HD Daily Two-Step Toothpaste System 4.0oz and 2.3oz Tubes,,http://www.amazon.com/Crest-Pro-Health-Two-Step-Toothpaste-System/dp/B00R2L69EG/ref=sr_1_1?ie=UTF8&qid=1454559310&sr=8-1&keywords=Colgate+Enamel+Health+Whitening+Toothpaste+4.0oz,1,,Regular Price,2,9999,Mix,53,USA_53
2/13/2016,2/6/2016,037130736,7.99,,7.24,,Jergens Ultra Healing Lotions,"Jergens Ultra Healing Lotion, 32 Ounce",,http://www.amazon.com/Jergens-Ultra-Healing-Lotion-Ounce/dp/B0034F9K36/ref=sr_1_1?ie=UTF8&qid=1455423259&sr=8-1&keywords=Jergens+Ultra+Healing+Lotions,,,Regular Price,7,9999,Mix,53,USA_53
1/27/2016,1/22/2016,035000766946,3.97,3.99,12.98,,Colgate Optic White Platinum Express White...,"Colgate Optic White Platinum Express White Fresh Mint Toothpaste, 3 Oz, 2 Pack",,http://www.amazon.com/Colgate-Optic-Platinum-Express-Toothpaste/dp/B00TY098NW/ref=sr_1_1?ie=UTF8&qid=1453956124&sr=8-1&keywords=Colgate+Optic+White+Platinum+Express+White...,1,,Regular Price,5,9999,Mix,53,USA_53
5/28/2016,5/24/2016,082010474,6.99,8.39,8.07,,"Schwinn Adjustable Kickstand""",Schwinn Adjustable Kickstand,Ships from and sold by Amazon.com. Gift-wrap available.,http://www.amazon.com/Schwinn-SW597A-3PK-Adjustable-Kickstand/dp/B000OMO96K/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1464491969&sr=8-1&keywords=Schwinn+Adjustable+Kickstand%22,,,Regular Price,4,9999,Mix,53,USA_53
1/25/2015,1/21/2015,038000737381,2.69,,2.5,,Nutri-Grain Fruit & Oat Harvest Country Strawberry...,"Nutri-Grain Fruit Crunch, Apple Cobbler, 2 Bar Pouches, 1.48 oz, 5-Count",Ships from and sold by Amazon.com. Gift-wrap available.,http://www.amazon.com/Nutri-Grain-Crunch-Cobbler-Pouches-5-Count/dp/B00B2JUCY2/ref=sr_1_1?ie=UTF8&qid=1422163461&sr=8-1&keywords=Nutri-Grain+Fruit,,,,4,9999,Mix,53,USA_53
2/4/2015,1/28/2015,490760360917,8,8,4.99,,Boys' Solid Tee Shirt,Fruit of the Loom Boys' Long Sleeve Crew Tee,,http://www.amazon.com/Fruit-Loom-Boys-Long-Sleeve/dp/B00EOZ2DZW/ref=sr_1_1?ie=UTF8&qid=1423026234&sr=8-1&keywords=Boys%27+Solid+Tee+Shirt,1,,,7,9999,Mix,53,USA_53
12/20/2014,12/18/2014,490711007847,3.69,,59.96,,Annie's Snack Kit Almond Butter & Crackers,Annie's Homegrown Snack Kit Almond Butter & Crackers 2.88 Ounces (Pack of 10),Ships from and sold by Cosas y Cosas .,http://www.amazon.com/Annies-Homegrown-Almond-Butter-Crackers/dp/B00O4FNE3C/ref=sr_1_1/177-4113507-5887516?ie=UTF8&qid=1419135120&sr=8-1&keywords=Annie%27s+Snack+Kit+Almond+Butter,,,,2,9999,Mix,53,USA_53
12/22/2014,12/18/2014,490711007847,3.69,,59.96,,Annie's Snack Kit Almond Butter & Crackers,Annie's Homegrown Snack Kit Almond Butter & Crackers 2.88 Ounces (Pack of 10),Ships from and sold by Cosas y Cosas .,http://www.amazon.com/Annies-Homegrown-Almond-Butter-Crackers/dp/B00O4FNE3C/ref=sr_1_1/187-5420450-7184761?ie=UTF8&qid=1419307916&sr=8-1&keywords=Annie%27s+Snack+Kit+Almond+Butter,,,,4,9999,Mix,53,USA_53
1/27/2016,1/21/2016,072010234,4.09,3.64,6.92,,NORDICWARE EGG MUFFIN MAKER,Nordic Ware Microwave Eggs 'n Muffin Breakfast Pan,Ships from and sold by Amazon.com. Gift-wrap available.,http://www.amazon.com/Nordic-Ware-Microwave-Muffin-Breakfast/dp/B001B2MRSE/ref=sr_1_1?ie=UTF8&qid=1453956527&sr=8-1&keywords=NORDICWARE+EGG+MUFFIN+MAKER,1,,Regular Price,6,9999,Mix,53,USA_53
2/13/2015,2/10/2015,074108225528,29.99,21.99,21.99,,"Conair You Curling Wand .5"" - 1""",Conair YOU CURL Curling Wand,Ships from and sold by Amazon.com. Gift-wrap available.,http://www.amazon.com/Conair-YOU-CURL-Curling-Wand/dp/B003F2T0M4/ref=sr_1_1?ie=UTF8&qid=1423805596&sr=8-1&keywords=Conair+You+Curling+Wand+.5%22+-+1%22,,,,3,9999,Mix,53,USA_53
12/21/2014,12/18/2014,490711007847,3.69,,59.96,,Annie's Snack Kit Almond Butter & Crackers,Annie's Homegrown Snack Kit Almond Butter & Crackers 2.88 Ounces (Pack of 10),Ships from and sold by Cosas y Cosas .,http://www.amazon.com/Annies-Homegrown-Almond-Butter-Crackers/dp/B00O4FNE3C/ref=sr_1_1/187-8873035-5909664?ie=UTF8&qid=1419221512&sr=8-1&keywords=Annie%27s+Snack+Kit+Almond+Butter,,,,3,9999,Mix,53,USA_53
2/14/2015,2/11/2015,093514069113,5.99,,8.4,,Patch Products Farkle Cup,Farkle Classic Dice Game,Sold by stores123 and Fulfilled by Amazon. Gift-wrap available.,http://www.amazon.com/Patch-Products-Inc-6910-Classic/dp/B000NA0HP0/ref=sr_1_1?ie=UTF8&qid=1423895578&sr=8-1&keywords=Patch+Products+Farkle+Cup,,,,3,9999,Mix,53,USA_53
2/5/2015,1/30/2015,490400401710,9.99,,15.99,,Men's Thermal Long Sleeve Crew Neck,Men's Heavyweight Waffle Thermal Long Sleeve Crew Neck Top,,http://www.amazon.com/Heavyweight-Waffle-Thermal-Sleeve-White/dp/B00R3YZGN2/ref=sr_1_1?ie=UTF8&qid=1423114489&sr=8-1&keywords=Men%27s+Thermal+Long+Sleeve+Crew+Neck,,,,6,9999,Mix,53,USA_53
